[27, 76, 31]
0 66 34.0
0 37 3.0
37 38 48.0
1 54 57.0
1 4 10.0
1 0 43.0
54 56 12.0
54 59 26.0
2 6 22.0
2 1 36.0
3 63 13.0
3 2 26.0
5 29 3.0
5 3 17.0
7 10 46.0
7 18 13.0
7 5 37.0
10 14 16.0
8 26 42.0
8 70 47.0
8 13 18.0
8 7 32.0
70 71 30.0
9 28 27.0
9 8 56.0
14 27 11.0
11 39 15.0
11 34 7.0
11 9 38.0
12 14 12.0
27 31 1.0
27 64 17.0
15 16 1.0
15 11 22.0
17 72 58.0
19 60 11.0
19 15 17.0
20 77 1.0
20 19 3.0
21 22 4.0
21 23 37.0
21 20 5.0
23 43 40.0
24 40 19.0
24 73 21.0
24 21 60.0
40 41 16.0
25 27 71.0
25 35 44.0
31 57 1.0
31 32 69.0
30 31 76.0
30 36 13.0
32 55 10.0
33 36 45.0
33 65 29.0
42 44 36.0
42 24 8.0
44 67 26.0
45 73 25.0
46 74 2.0
46 42 3.0
47 48 30.0
47 46 3.0
48 49 34.0
50 58 1.0
50 47 9.0
51 52 32.0
51 50 9.0
52 68 35.0
52 53 40.0
59 61 57.0
62 69 9.0
62 51 3.0
71 72 46.0
71 75 56.0
76 78 92.0
76 79 82.0
76 62 37.0
